date	borough	n
643	2015-04-02	Staten Island	30
644	2015-04-02	Unknown	25
645	2015-04-03	Bronx	1004
646	2015-04-03	Brooklyn	12729
647	2015-04-03	EWR	0
648	2015-04-03	Manhattan	55482
649	2015-04-03	Queens	6706
650	2015-04-03	Staten Island	36
651	2015-04-03	Unknown	26
652	2015-04-04	Bronx	1219
653	2015-04-04	Brooklyn	15246
654	2015-04-04	EWR	0
655	2015-04-04	Manhattan	46778
656	2015-04-04	Queens	5892
657	2015-04-04	Staten Island	32
658	2015-04-04	Unknown	22
659	2015-04-05	Bronx	1100
660	2015-04-05	Brooklyn	13358
661	2015-04-05	EWR	0
662	2015-04-05	Manhattan	36292
663	2015-04-05	Queens	7547
664	2015-04-05	Staten Island	35
665	2015-04-05	Unknown	25
666	2015-04-06	Bronx	992
667	2015-04-06	Brooklyn	8247
668	2015-04-06	EWR	1
669	2015-04-06	Manhattan	37407
670	2015-04-06	Queens	6860
671	2015-04-06	Staten Island	23
672	2015-04-06	Unknown	35
673	2015-04-07	Bronx	825
674	2015-04-07	Brooklyn	9419
675	2015-04-07	EWR	1
676	2015-04-07	Manhattan	52161
677	2015-04-07	Queens	5634
678	2015-04-07	Staten Island	23
679	2015-04-07	Unknown	16
680	2015-04-08	Bronx	943
681	2015-04-08	Brooklyn	10243
682	2015-04-08	EWR	0
683	2015-04-08	Manhattan	54948
684	2015-04-08	Queens	5838
685	2015-04-08	Staten Island	27
686	2015-04-08	Unknown	24
687	2015-04-09	Bronx	1026
688	2015-04-09	Brooklyn	10462
689	2015-04-09	EWR	1
690	2015-04-09	Manhattan	59232
691	2015-04-09	Queens	6733
692	2015-04-09	Staten Island	39
693	2015-04-09	Unknown	27
694	2015-04-10	Bronx	1268
695	2015-04-10	Brooklyn	12261
696	2015-04-10	EWR	0
697	2015-04-10	Manhattan	60512
698	2015-04-10	Queens	7342
699	2015-04-10	Staten Island	29
700	2015-04-10	Unknown	27
701	2015-04-11	Bronx	1548
702	2015-04-11	Brooklyn	17338
703	2015-04-11	EWR	0
704	2015-04-11	Manhattan	56136
705	2015-04-11	Queens	7428
706	2015-04-11	Staten Island	50
707	2015-04-11	Unknown	47
708	2015-04-12	Bronx	1232
709	2015-04-12	Brooklyn	15365
710	2015-04-12	EWR	1
711	2015-04-12	Manhattan	42529
712	2015-04-12	Queens	8519
713	2015-04-12	Staten Island	49
714	2015-04-12	Unknown	31
715	2015-04-13	Bronx	902
716	2015-04-13	Brooklyn	8940
717	2015-04-13	EWR	1
718	2015-04-13	Manhattan	38862
719	2015-04-13	Queens	7896
720	2015-04-13	Staten Island	24
721	2015-04-13	Unknown	30
722	2015-04-14	Bronx	807
723	2015-04-14	Brooklyn	9224
724	2015-04-14	EWR	0
725	2015-04-14	Manhattan	46827
726	2015-04-14	Queens	6480
727	2015-04-14	Staten Island	31
728	2015-04-14	Unknown	24
729	2015-04-15	Bronx	961
730	2015-04-15	Brooklyn	10273
731	2015-04-15	EWR	0
732	2015-04-15	Manhattan	48908
733	2015-04-15	Queens	6324
734	2015-04-15	Staten Island	37
735	2015-04-15	Unknown	31
736	2015-04-16	Bronx	1149
737	2015-04-16	Brooklyn	11220
738	2015-04-16	EWR	1
739	2015-04-16	Manhattan	58996
740	2015-04-16	Queens	7381
741	2015-04-16	Staten Island	31
742	2015-04-16	Unknown	30
743	2015-04-17	Bronx	1252
744	2015-04-17	Brooklyn	13145
745	2015-04-17	EWR	0
746	2015-04-17	Manhattan	61338
747	2015-04-17	Queens	8048
748	2015-04-17	Staten Island	25
749	2015-04-17	Unknown	47
750	2015-04-18	Bronx	1468
751	2015-04-18	Brooklyn	20605
752	2015-04-18	EWR	0
753	2015-04-18	Manhattan	64281
754	2015-04-18	Queens	7749
755	2015-04-18	Staten Island	51
756	2015-04-18	Unknown	42
757	2015-04-19	Bronx	1263
758	2015-04-19	Brooklyn	17348
759	2015-04-19	EWR	0
760	2015-04-19	Manhattan	50674
761	2015-04-19	Queens	8759
762	2015-04-19	Staten Island	33
763	2015-04-19	Unknown	30
764	2015-04-20	Bronx	999
765	2015-04-20	Brooklyn	11153
766	2015-04-20	EWR	0
767	2015-04-20	Manhattan	58518
768	2015-04-20	Queens	7350
769	2015-04-20	Staten Island	21
770	2015-04-20	Unknown	35
771	2015-04-21	Bronx	947
772	2015-04-21	Brooklyn	9664
773	2015-04-21	EWR	0
774	2015-04-21	Manhattan	50657
775	2015-04-21	Queens	7389
776	2015-04-21	Staten Island	31
777	2015-04-21	Unknown	24
778	2015-04-22	Bronx	1113
779	2015-04-22	Brooklyn	10878
780	2015-04-22	EWR	2
781	2015-04-22	Manhattan	63585
782	2015-04-22	Queens	6479
783	2015-04-22	Staten Island	40
784	2015-04-22	Unknown	27
785	2015-04-23	Bronx	1150
786	2015-04-23	Brooklyn	12248
787	2015-04-23	EWR	1
788	2015-04-23	Manhattan	71132
789	2015-04-23	Queens	7506
790	2015-04-23	Staten Island	44
791	2015-04-23	Unknown	29
792	2015-04-24	Bronx	1542
793	2015-04-24	Brooklyn	14595
794	2015-04-24	EWR	0
795	2015-04-24	Manhattan	75287
796	2015-04-24	Queens	8170
797	2015-04-24	Staten Island	44
798	2015-04-24	Unknown	50
799	2015-04-25	Bronx	1654
800	2015-04-25	Brooklyn	21791
801	2015-04-25	EWR	0
802	2015-04-25	Manhattan	74448
803	2015-04-25	Queens	8277
804	2015-04-25	Staten Island	66
805	2015-04-25	Unknown	34
806	2015-04-26	Bronx	1390
807	2015-04-26	Brooklyn	17631
808	2015-04-26	EWR	0
809	2015-04-26	Manhattan	60323
810	2015-04-26	Queens	9243
811	2015-04-26	Staten Island	43
812	2015-04-26	Unknown	43
813	2015-04-27	Bronx	1164
814	2015-04-27	Brooklyn	10088
815	2015-04-27	EWR	0
816	2015-04-27	Manhattan	46015
817	2015-04-27	Queens	7451
818	2015-04-27	Staten Island	29
819	2015-04-27	Unknown	36
820	2015-04-28	Bronx	1266
821	2015-04-28	Brooklyn	10115
822	2015-04-28	EWR	0
823	2015-04-28	Manhattan	51016
824	2015-04-28	Queens	6417
825	2015-04-28	Staten Island	27
826	2015-04-28	Unknown	22
827	2015-04-29	Bronx	1268
828	2015-04-29	Brooklyn	11492
829	2015-04-29	EWR	0
830	2015-04-29	Manhattan	56305
831	2015-04-29	Queens	6799
832	2015-04-29	Staten Island	44
833	2015-04-29	Unknown	32
834	2015-04-30	Bronx	1231
835	2015-04-30	Brooklyn	12158
836	2015-04-30	EWR	0
837	2015-04-30	Manhattan	62873
838	2015-04-30	Queens	7989
839	2015-04-30	Staten Island	54
840	2015-04-30	Unknown	25
841	2015-05-01	Bronx	1494
842	2015-05-01	Brooklyn	14862
843	2015-05-01	EWR	2
844	2015-05-01	Manhattan	66791
845	2015-05-01	Queens	9077
846	2015-05-01	Staten Island	56
847	2015-05-01	Unknown	47
848	2015-05-02	Bronx	1856
849	2015-05-02	Brooklyn	23631
850	2015-05-02	EWR	0
851	2015-05-02	Manhattan	70708
852	2015-05-02	Queens	8678
853	2015-05-02	Staten Island	60
854	2015-05-02	Unknown	45
855	2015-05-03	Bronx	1633
856	2015-05-03	Brooklyn	18103
857	2015-05-03	EWR	0
858	2015-05-03	Manhattan	50315
859	2015-05-03	Queens	10159
860	2015-05-03	Staten Island	53
861	2015-05-03	Unknown	37
862	2015-05-04	Bronx	1052
863	2015-05-04	Brooklyn	10140
864	2015-05-04	EWR	0
865	2015-05-04	Manhattan	46422
866	2015-05-04	Queens	7757
867	2015-05-04	Staten Island	47
868	2015-05-04	Unknown	29
869	2015-05-05	Bronx	1092
870	2015-05-05	Brooklyn	10906
871	2015-05-05	EWR	2
872	2015-05-05	Manhattan	57330
873	2015-05-05	Queens	6802
874	2015-05-05	Staten Island	34
875	2015-05-05	Unknown	29
876	2015-05-06	Bronx	1251
877	2015-05-06	Brooklyn	11477
878	2015-05-06	EWR	0
879	2015-05-06	Manhattan	60534
880	2015-05-06	Queens	7106
881	2015-05-06	Staten Island	47
882	2015-05-06	Unknown	32
883	2015-05-07	Bronx	1403
884	2015-05-07	Brooklyn	12294
885	2015-05-07	EWR	1
886	2015-05-07	Manhattan	65527
887	2015-05-07	Queens	8061
888	2015-05-07	Staten Island	42
889	2015-05-07	Unknown	33
890	2015-05-08	Bronx	1605
891	2015-05-08	Brooklyn	14384
892	2015-05-08	EWR	0
893	2015-05-08	Manhattan	66409
894	2015-05-08	Queens	8218
895	2015-05-08	Staten Island	64
896	2015-05-08	Unknown	53
897	2015-05-09	Bronx	1722
898	2015-05-09	Brooklyn	22827
899	2015-05-09	EWR	0
900	2015-05-09	Manhattan	65183
901	2015-05-09	Queens	8499
902	2015-05-09	Staten Island	70
903	2015-05-09	Unknown	58
904	2015-05-10	Bronx	1608
905	2015-05-10	Brooklyn	18542
906	2015-05-10	EWR	2
907	2015-05-10	Manhattan	50028
908	2015-05-10	Queens	9883
909	2015-05-10	Staten Island	44
910	2015-05-10	Unknown	39
911	2015-05-11	Bronx	1134
912	2015-05-11	Brooklyn	10591
913	2015-05-11	EWR	1
914	2015-05-11	Manhattan	49962
915	2015-05-11	Queens	8548
916	2015-05-11	Staten Island	42
917	2015-05-11	Unknown	32
918	2015-05-12	Bronx	1145
919	2015-05-12	Brooklyn	11013
920	2015-05-12	EWR	0
921	2015-05-12	Manhattan	58529
922	2015-05-12	Queens	7691
923	2015-05-12	Staten Island	26
924	2015-05-12	Unknown	33
925	2015-05-13	Bronx	1194
926	2015-05-13	Brooklyn	11726
927	2015-05-13	EWR	1
928	2015-05-13	Manhattan	63873
929	2015-05-13	Queens	8074
930	2015-05-13	Staten Island	35
931	2015-05-13	Unknown	34
932	2015-05-14	Bronx	1261
933	2015-05-14	Brooklyn	12851
934	2015-05-14	EWR	0
935	2015-05-14	Manhattan	70033
936	2015-05-14	Queens	9420
937	2015-05-14	Staten Island	34
938	2015-05-14	Unknown	25
939	2015-05-15	Bronx	2584
940	2015-05-15	Brooklyn	15407
941	2015-05-15	EWR	1
942	2015-05-15	Manhattan	71987
943	2015-05-15	Queens	9680
944	2015-05-15	Staten Island	56
945	2015-05-15	Unknown	41
946	2015-05-16	Bronx	4030
947	2015-05-16	Brooklyn	25149
948	2015-05-16	EWR	0
949	2015-05-16	Manhattan	83144
950	2015-05-16	Queens	9115
951	2015-05-16	Staten Island	62
952	2015-05-16	Unknown	57
953	2015-05-17	Bronx	3506
954	2015-05-17	Brooklyn	19717
955	2015-05-17	EWR	3
956	2015-05-17	Manhattan	60369
957	2015-05-17	Queens	10608
958	2015-05-17	Staten Island	63
959	2015-05-17	Unknown	56
960	2015-05-18	Bronx	1320
961	2015-05-18	Brooklyn	11267
962	2015-05-18	EWR	0
963	2015-05-18	Manhattan	55156
964	2015-05-18	Queens	8602
965	2015-05-18	Staten Island	30
966	2015-05-18	Unknown	39
967	2015-05-19	Bronx	1391
968	2015-05-19	Brooklyn	11803
969	2015-05-19	EWR	2
970	2015-05-19	Manhattan	63127
971	2015-05-19	Queens	8973
972	2015-05-19	Staten Island	32
973	2015-05-19	Unknown	43
974	2015-05-20	Bronx	1494
975	2015-05-20	Brooklyn	12804
976	2015-05-20	EWR	2
977	2015-05-20	Manhattan	68566
978	2015-05-20	Queens	8125
979	2015-05-20	Staten Island	39
980	2015-05-20	Unknown	32
981	2015-05-21	Bronx	1549
982	2015-05-21	Brooklyn	13789
983	2015-05-21	EWR	2
984	2015-05-21	Manhattan	70323
985	2015-05-21	Queens	9390
986	2015-05-21	Staten Island	54
987	2015-05-21	Unknown	39
988	2015-05-22	Bronx	2043
989	2015-05-22	Brooklyn	15033
990	2015-05-22	EWR	0
991	2015-05-22	Manhattan	59295
992	2015-05-22	Queens	9290
993	2015-05-22	Staten Island	63
994	2015-05-22	Unknown	47
995	2015-05-23	Bronx	1982
996	2015-05-23	Brooklyn	18847
997	2015-05-23	EWR	1
998	2015-05-23	Manhattan	48908
999	2015-05-23	Queens	8519
1000	2015-05-23	Staten Island	37
1001	2015-05-23	Unknown	49
1002	2015-05-24	Bronx	1863
1003	2015-05-24	Brooklyn	17307
1004	2015-05-24	EWR	0
1005	2015-05-24	Manhattan	40965
1006	2015-05-24	Queens	8112
1007	2015-05-24	Staten Island	44
1008	2015-05-24	Unknown	37
1009	2015-05-25	Bronx	1415
1010	2015-05-25	Brooklyn	13669
1011	2015-05-25	EWR	3
1012	2015-05-25	Manhattan	34366
1013	2015-05-25	Queens	10206
1014	2015-05-25	Staten Island	42
1015	2015-05-25	Unknown	47
1016	2015-05-26	Bronx	1530
1017	2015-05-26	Brooklyn	11636
1018	2015-05-26	EWR	0
1019	2015-05-26	Manhattan	49897
1020	2015-05-26	Queens	9694
1021	2015-05-26	Staten Island	30
1022	2015-05-26	Unknown	33
1023	2015-05-27	Bronx	1539
1024	2015-05-27	Brooklyn	12462
1025	2015-05-27	EWR	1
1026	2015-05-27	Manhattan	66755
1027	2015-05-27	Queens	7815
1028	2015-05-27	Staten Island	52
1029	2015-05-27	Unknown	38
1030	2015-05-28	Bronx	1492
1031	2015-05-28	Brooklyn	13870
1032	2015-05-28	EWR	0
1033	2015-05-28	Manhattan	70304
1034	2015-05-28	Queens	9312
1035	2015-05-28	Staten Island	51
1036	2015-05-28	Unknown	45
1037	2015-05-29	Bronx	1776
1038	2015-05-29	Brooklyn	16026
1039	2015-05-29	EWR	1
1040	2015-05-29	Manhattan	70601
1041	2015-05-29	Queens	9676
1042	2015-05-29	Staten Island	66
1043	2015-05-29	Unknown	54
1044	2015-05-30	Bronx	2227
1045	2015-05-30	Brooklyn	22957
1046	2015-05-30	EWR	2
1047	2015-05-30	Manhattan	69012
1048	2015-05-30	Queens	10098
1049	2015-05-30	Staten Island	82
1050	2015-05-30	Unknown	51
1051	2015-05-31	Bronx	1862
1052	2015-05-31	Brooklyn	20917
1053	2015-05-31	EWR	0
1054	2015-05-31	Manhattan	63228
1055	2015-05-31	Queens	10838
1056	2015-05-31	Staten Island	58
1057	2015-05-31	Unknown	44
1058	2015-06-01	Bronx	1402
1059	2015-06-01	Brooklyn	12763
1060	2015-06-01	EWR	0
1061	2015-06-01	Manhattan	68791
1062	2015-06-01	Queens	10442
1063	2015-06-01	Staten Island	58
1064	2015-06-01	Unknown	43
1065	2015-06-02	Bronx	1403
1066	2015-06-02	Brooklyn	13293
1067	2015-06-02	EWR	1
1068	2015-06-02	Manhattan	73887
1069	2015-06-02	Queens	8923
1070	2015-06-02	Staten Island	44
1071	2015-06-02	Unknown	41
1072	2015-06-03	Bronx	1382
1073	2015-06-03	Brooklyn	13008
1074	2015-06-03	EWR	0
1075	2015-06-03	Manhattan	64832
1076	2015-06-03	Queens	7904
1077	2015-06-03	Staten Island	41
1078	2015-06-03	Unknown	39
1079	2015-06-04	Bronx	1470
1080	2015-06-04	Brooklyn	13539
1081	2015-06-04	EWR	0
1082	2015-06-04	Manhattan	70763
1083	2015-06-04	Queens	9163
1084	2015-06-04	Staten Island	40
1085	2015-06-04	Unknown	48
1086	2015-06-05	Bronx	1909
1087	2015-06-05	Brooklyn	15953
1088	2015-06-05	EWR	2
1089	2015-06-05	Manhattan	73672
1090	2015-06-05	Queens	10268
1091	2015-06-05	Staten Island	70
1092	2015-06-05	Unknown	48
1093	2015-06-06	Bronx	2191
1094	2015-06-06	Brooklyn	22359
1095	2015-06-06	EWR	1
1096	2015-06-06	Manhattan	66666
1097	2015-06-06	Queens	10403
1098	2015-06-06	Staten Island	69
1099	2015-06-06	Unknown	84
1100	2015-06-07	Bronx	1816
1101	2015-06-07	Brooklyn	19223
1102	2015-06-07	EWR	0
1103	2015-06-07	Manhattan	56393
1104	2015-06-07	Queens	11329
1105	2015-06-07	Staten Island	68
1106	2015-06-07	Unknown	47
1107	2015-06-08	Bronx	1347
1108	2015-06-08	Brooklyn	12083
1109	2015-06-08	EWR	1
1110	2015-06-08	Manhattan	54850
1111	2015-06-08	Queens	8532
1112	2015-06-08	Staten Island	40
1113	2015-06-08	Unknown	46
1114	2015-06-09	Bronx	1513
1115	2015-06-09	Brooklyn	12106
1116	2015-06-09	EWR	2
1117	2015-06-09	Manhattan	61133
1118	2015-06-09	Queens	7634
1119	2015-06-09	Staten Island	36
1120	2015-06-09	Unknown	39
1121	2015-06-10	Bronx	1507
1122	2015-06-10	Brooklyn	12870
1123	2015-06-10	EWR	1
1124	2015-06-10	Manhattan	64895
1125	2015-06-10	Queens	8055
1126	2015-06-10	Staten Island	41
1127	2015-06-10	Unknown	34
1128	2015-06-11	Bronx	1456
1129	2015-06-11	Brooklyn	14798
1130	2015-06-11	EWR	2
1131	2015-06-11	Manhattan	76243
1132	2015-06-11	Queens	9402
1133	2015-06-11	Staten Island	49
1134	2015-06-11	Unknown	63
1135	2015-06-12	Bronx	1729
1136	2015-06-12	Brooklyn	17099
1137	2015-06-12	EWR	2
1138	2015-06-12	Manhattan	74234
1139	2015-06-12	Queens	9850
1140	2015-06-12	Staten Island	68
1141	2015-06-12	Unknown	70
1142	2015-06-13	Bronx	2089
1143	2015-06-13	Brooklyn	23229
1144	2015-06-13	EWR	1
1145	2015-06-13	Manhattan	66013
1146	2015-06-13	Queens	9682
1147	2015-06-13	Staten Island	92
1148	2015-06-13	Unknown	64
1149	2015-06-14	Bronx	1683
1150	2015-06-14	Brooklyn	21247
1151	2015-06-14	EWR	2
1152	2015-06-14	Manhattan	56932
1153	2015-06-14	Queens	10865
1154	2015-06-14	Staten Island	75
1155	2015-06-14	Unknown	52
1156	2015-06-15	Bronx	1345
1157	2015-06-15	Brooklyn	13081
1158	2015-06-15	EWR	3
1159	2015-06-15	Manhattan	61221
1160	2015-06-15	Queens	10144
1161	2015-06-15	Staten Island	34
1162	2015-06-15	Unknown	29
1163	2015-06-16	Bronx	1350
1164	2015-06-16	Brooklyn	12900
1165	2015-06-16	EWR	2
1166	2015-06-16	Manhattan	66038
1167	2015-06-16	Queens	8780
1168	2015-06-16	Staten Island	51
1169	2015-06-16	Unknown	50
1170	2015-06-17	Bronx	1488
1171	2015-06-17	Brooklyn	13735
1172	2015-06-17	EWR	1
1173	2015-06-17	Manhattan	69489
1174	2015-06-17	Queens	8901
1175	2015-06-17	Staten Island	51
1176	2015-06-17	Unknown	41
1177	2015-06-18	Bronx	1666
1178	2015-06-18	Brooklyn	14315
1179	2015-06-18	EWR	3
1180	2015-06-18	Manhattan	74539
1181	2015-06-18	Queens	9212
1182	2015-06-18	Staten Island	61
1183	2015-06-18	Unknown	46
1184	2015-06-19	Bronx	1937
1185	2015-06-19	Brooklyn	17058
1186	2015-06-19	EWR	1
1187	2015-06-19	Manhattan	72228
1188	2015-06-19	Queens	10349
1189	2015-06-19	Staten Island	73
1190	2015-06-19	Unknown	57
1191	2015-06-20	Bronx	2073
1192	2015-06-20	Brooklyn	23260
1193	2015-06-20	EWR	0
1194	2015-06-20	Manhattan	66563
1195	2015-06-20	Queens	9636
1196	2015-06-20	Staten Island	73
1197	2015-06-20	Unknown	62
1198	2015-06-21	Bronx	1665
1199	2015-06-21	Brooklyn	21617
1200	2015-06-21	EWR	0
1201	2015-06-21	Manhattan	54482
1202	2015-06-21	Queens	11398
1203	2015-06-21	Staten Island	72
1204	2015-06-21	Unknown	51
1205	2015-06-22	Bronx	1410
1206	2015-06-22	Brooklyn	12470
1207	2015-06-22	EWR	1
1208	2015-06-22	Manhattan	51842
1209	2015-06-22	Queens	9605
1210	2015-06-22	Staten Island	49
1211	2015-06-22	Unknown	41
1212	2015-06-23	Bronx	1519
1213	2015-06-23	Brooklyn	13743
1214	2015-06-23	EWR	0
1215	2015-06-23	Manhattan	69667
1216	2015-06-23	Queens	8140
1217	2015-06-23	Staten Island	49
1218	2015-06-23	Unknown	54
1219	2015-06-24	Bronx	1565
1220	2015-06-24	Brooklyn	13545
1221	2015-06-24	EWR	0
1222	2015-06-24	Manhattan	67165
1223	2015-06-24	Queens	9011
1224	2015-06-24	Staten Island	54
1225	2015-06-24	Unknown	48
1226	2015-06-25	Bronx	1550
1227	2015-06-25	Brooklyn	15058
1228	2015-06-25	EWR	1
1229	2015-06-25	Manhattan	73515
1230	2015-06-25	Queens	9840
1231	2015-06-25	Staten Island	57
1232	2015-06-25	Unknown	52
1233	2015-06-26	Bronx	1831
1234	2015-06-26	Brooklyn	16968
1235	2015-06-26	EWR	0
1236	2015-06-26	Manhattan	70169
1237	2015-06-26	Queens	10427
1238	2015-06-26	Staten Island	65
1239	2015-06-26	Unknown	48
1240	2015-06-27	Bronx	2249
1241	2015-06-27	Brooklyn	26694
1242	2015-06-27	EWR	0
1243	2015-06-27	Manhattan	96118
1244	2015-06-27	Queens	10983
1245	2015-06-27	Staten Island	89
1246	2015-06-27	Unknown	60
1247	2015-06-28	Bronx	1903
1248	2015-06-28	Brooklyn	19259
1249	2015-06-28	EWR	2
1250	2015-06-28	Manhattan	60660
1251	2015-06-28	Queens	11196
1252	2015-06-28	Staten Island	42
1253	2015-06-28	Unknown	46
1254	2015-06-29	Bronx	1250
1255	2015-06-29	Brooklyn	12154
1256	2015-06-29	EWR	0
1257	2015-06-29	Manhattan	52450
1258	2015-06-29	Queens	8514
1259	2015-06-29	Staten Island	31
1260	2015-06-29	Unknown	31
1261	2015-06-30	Bronx	1305
1262	2015-06-30	Brooklyn	13110
1263	2015-06-30	EWR	0
1264	2015-06-30	Manhattan	60488
1265	2015-06-30	Queens	7650
1266	2015-06-30	Staten Island	32
1267	2015-06-30	Unknown	42
